CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 2002 - Brasil
Quantidade por Município e Ocupações de Nível Superior
Período:Dez/2010
"Município";"Anestesista";"Assistente Social";"Bioquímico/farmacêutico";"Cirurgião Geral";"Clínico Geral";"Enfermeiro";"Fisioterapeuta";"Fonoaudiólogo";"Gineco Obstetra";"Médico de Família";"Nutricionista";"Odontólogo";"Pediatra";"Psicólogo";"Psiquiatra";"Radiologista";"Sanitarista";"Outras especialidades médicas";"Outras ocupações de nível superior relac à Saúde";"Total"
"251650 Taperoá";-;2;-;-;2;10;1;1;-;4;1;9;-;2;-;-;-;-;-;32
"251660 Tavares";-;-;1;1;2;9;-;-;-;3;-;2;-;-;-;-;-;1;-;19
"251670 Teixeira";-;1;2;1;5;9;1;1;-;-;1;7;-;1;-;-;-;-;2;31
"251675 Tenório";-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"251680 Triunfo";-;-;-;-;-;4;-;-;-;3;-;5;-;-;-;-;-;-;-;12
"251690 Uiraúna";-;-;4;1;3;22;2;1;-;-;-;6;1;1;-;-;-;-;-;41
"251700 Umbuzeiro";-;-;2;-;-;4;1;-;-;-;1;3;-;1;-;1;-;-;-;13
"251710 Várzea";-;-;-;-;1;2;1;-;-;1;-;1;-;-;-;-;-;-;1;7
"251720 Vieirópolis";-;-;-;-;1;2;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"250550 Vista Serrana";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251740 Zabelê";-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;4
"260005 Abreu e Lima";7;14;6;2;24;34;10;6;14;18;4;33;16;17;6;4;-;5;15;235
"260010 Afogados da Ingazeira";2;3;9;12;20;23;7;3;4;3;3;16;3;5;1;-;-;14;5;133
"260020 Afrânio";1;-;2;1;10;7;1;-;-;1;1;7;-;-;1;-;-;1;-;33
"260030 Agrestina";2;1;2;4;6;9;2;1;-;4;1;16;-;1;-;2;-;4;2;57
"260040 Água Preta";-;1;-;-;6;10;2;1;-;5;3;9;-;1;-;1;-;1;4;44
"260050 Águas Belas";1;1;1;1;9;10;-;1;-;1;1;5;-;2;-;-;-;1;3;37
"260060 Alagoinha";-;-;-;2;3;7;2;-;-;1;-;2;-;-;1;-;-;1;1;20
"260070 Aliança";1;1;1;1;7;13;4;-;1;5;3;15;1;2;1;-;-;1;3;60
"260080 Altinho";-;-;3;-;7;7;2;-;-;3;1;7;-;1;-;-;-;2;-;33
"260090 Amaraji";-;1;-;1;5;7;1;1;-;1;1;5;-;-;1;-;-;1;1;26
"260100 Angelim";-;-;1;3;3;5;-;-;-;2;-;6;-;-;-;1;-;1;2;24
"260105 Araçoiaba";-;-;1;-;2;5;-;-;-;2;1;6;-;1;-;-;-;-;1;19
"260110 Araripina";7;3;5;12;13;14;5;4;-;3;1;9;3;2;1;4;-;4;4;94
"260120 Arcoverde";8;9;13;13;33;42;11;1;2;3;5;30;2;11;1;4;-;29;7;224
"260130 Barra de Guabiraba";-;-;-;1;3;5;1;-;-;2;1;8;-;1;-;-;-;-;3;25
"260140 Barreiros";2;6;1;7;11;16;5;1;-;2;2;13;1;10;3;2;-;9;7;98
"260150 Belém de Maria";-;-;1;-;8;4;1;-;-;-;-;4;-;-;-;-;-;-;1;19
"260160 Belém do São Francisco";1;1;3;1;2;6;-;-;-;-;1;3;-;-;-;-;-;1;1;20
"260170 Belo Jardim";2;1;6;4;14;19;5;3;3;5;3;25;-;2;-;3;-;8;5;108
"260180 Betânia";-;-;1;1;-;6;1;1;-;1;-;6;-;-;-;-;-;-;1;18
"260190 Bezerros";6;2;5;5;16;27;12;3;1;3;4;25;2;5;1;-;-;16;6;139
"260200 Bodocó";-;2;4;2;6;22;4;2;-;5;1;6;1;3;-;2;-;4;2;66
"260210 Bom Conselho";1;2;3;2;9;15;5;1;-;3;1;12;1;2;1;1;-;2;4;65
"260220 Bom Jardim";1;1;1;1;7;14;2;1;-;5;2;15;1;1;-;-;-;2;1;55
"260230 Bonito";1;-;3;3;11;14;1;2;-;4;1;13;1;2;-;-;-;2;3;61
"260240 Brejão";1;-;1;-;1;4;-;-;-;1;1;3;1;-;-;1;-;2;-;16
"260250 Brejinho";-;-;-;1;3;6;1;-;-;1;-;3;-;-;-;-;-;1;1;17
"260260 Brejo da Madre de Deus";1;1;1;1;13;17;3;-;1;4;3;21;-;2;1;1;-;1;2;73
"260270 Buenos Aires";-;-;1;-;3;3;-;-;-;2;1;4;-;1;-;-;-;1;-;16
"260280 Buíque";1;1;2;2;2;16;1;1;-;2;1;3;-;4;-;-;-;-;2;38
"260290 Cabo de Santo Agostinho";33;27;16;52;112;189;28;11;29;18;13;79;31;19;6;26;-;143;42;874
"260300 Cabrobó";2;2;1;1;5;13;2;1;-;1;2;12;-;3;-;-;-;2;7;54
"260310 Cachoeirinha";-;-;1;2;5;9;1;-;1;2;1;7;-;-;-;-;-;-;3;32
"260320 Caetés";2;1;3;1;4;7;4;4;-;4;2;9;-;1;-;2;-;4;1;49
"260330 Calçado";-;-;-;1;3;3;-;-;-;1;-;6;-;-;-;-;-;1;1;16
"260340 Calumbi";-;-;1;-;-;3;-;-;-;1;-;4;-;-;-;1;-;-;1;11
"260345 Camaragibe";12;17;11;1;48;76;13;4;15;33;8;62;6;25;23;5;-;17;27;403
"260350 Camocim de São Félix";-;-;1;-;5;5;1;1;-;1;1;4;-;1;-;-;-;-;1;21
"260360 Camutanga";-;-;-;-;6;4;1;-;-;1;-;3;-;-;-;-;-;-;1;16
"260370 Canhotinho";1;-;-;3;2;7;2;1;1;1;1;9;1;1;-;-;-;1;-;31
"260380 Capoeiras";-;-;1;1;6;8;-;1;-;1;1;4;1;2;-;-;-;-;1;27
"260390 Carnaíba";-;-;3;2;3;4;1;1;-;1;1;2;-;-;-;-;-;-;1;19
"260392 Carnaubeira da Penha";1;1;1;-;-;9;1;1;-;1;1;4;-;1;-;-;-;-;1;22
"260400 Carpina";5;1;1;4;29;26;6;3;3;5;5;18;5;6;1;5;-;28;6;157
"260410 Caruaru";34;35;45;39;99;224;67;20;26;20;30;174;32;40;15;21;-;143;17;1081
"260415 Casinhas";-;-;-;-;5;5;1;1;-;2;1;10;-;1;-;-;-;1;2;29
"260420 Catende";-;1;1;-;6;10;2;1;-;1;1;7;-;2;-;-;-;2;-;34
"260430 Cedro";-;-;1;-;8;4;1;-;-;3;1;4;-;-;-;-;-;1;-;23
"260440 Chã de Alegria";-;2;-;2;14;6;1;1;-;1;-;4;-;1;-;1;-;1;1;35
"260450 Chã Grande";1;3;1;2;6;9;1;1;-;-;1;5;-;2;-;-;-;5;3;40
"260460 Condado";-;-;-;1;8;9;2;1;-;6;1;9;-;1;1;-;-;-;2;41
"260470 Correntes";-;1;1;-;3;4;-;-;-;1;-;10;1;1;-;1;-;-;4;27
"260480 Cortês";1;1;2;2;1;5;1;2;-;-;1;5;1;1;-;-;-;2;2;27
"260490 Cumaru";-;-;-;-;7;7;-;-;-;2;-;4;1;-;-;-;-;-;2;23
"260500 Cupira";-;-;1;1;4;12;3;1;-;4;-;10;-;1;-;-;-;-;4;41
"260510 Custódia";-;-;3;2;8;14;2;1;-;2;1;9;-;3;-;-;-;1;-;46
"260515 Dormentes";-;-;1;-;3;6;-;-;-;1;-;5;-;1;-;-;-;1;1;19
"260520 Escada";4;-;3;8;14;16;2;1;1;5;2;14;-;-;-;-;-;5;2;77
"260530 Exu";-;1;3;1;6;19;2;1;1;8;1;13;1;-;1;-;-;2;2;62
"260540 Feira Nova";-;1;-;1;3;10;2;-;-;3;1;6;-;1;1;1;-;-;1;31
"260545 Fernando de Noronha";-;1;2;-;2;3;2;1;-;1;1;2;-;2;-;1;-;-;-;18
"260550 Ferreiros";-;-;-;-;5;4;-;-;-;2;1;3;-;1;-;-;-;2;-;18
"260560 Flores";-;-;1;-;4;7;-;-;-;2;-;7;-;-;-;-;-;-;-;21
"260570 Floresta";2;2;5;2;7;12;3;1;1;1;1;7;1;1;1;-;-;1;3;51
"260580 Frei Miguelinho";-;-;1;1;4;4;1;-;-;2;-;3;-;2;-;1;-;1;3;23
"260590 Gameleira";-;1;1;1;4;7;2;1;-;2;-;7;-;1;-;-;-;-;2;29
"260600 Garanhuns";3;10;21;22;37;61;13;7;7;18;5;48;7;17;2;7;-;46;14;345
"260610 Glória do Goitá";-;3;-;-;6;10;2;1;-;4;2;6;-;3;-;1;-;-;3;41
"260620 Goiana";6;10;13;12;38;57;5;3;17;8;1;35;15;6;3;3;-;19;10;261
"260630 Granito";-;-;-;-;2;4;-;-;-;1;-;3;-;-;-;-;-;-;-;10
"260640 Gravatá";3;4;10;2;34;31;7;3;4;12;4;34;3;8;-;5;1;17;5;187
"260650 Iati";-;-;-;-;3;5;1;-;-;2;1;7;-;-;-;-;-;1;2;22
"260660 Ibimirim";-;1;2;-;2;13;1;1;-;5;2;12;-;4;-;1;-;-;1;45
"260670 Ibirajuba";-;-;-;-;2;3;1;-;-;-;-;2;-;-;-;-;-;-;-;8
"260680 Igarassu";6;22;10;4;45;61;9;7;10;14;5;29;11;21;6;1;-;24;15;300
"260690 Iguaracy";-;-;-;-;2;3;-;-;-;2;-;5;-;-;-;-;-;-;1;13
"260760 Ilha de Itamaracá";-;7;2;-;11;24;5;3;1;2;3;9;-;11;1;-;1;2;1;83
"260700 Inajá";-;1;1;-;-;8;1;-;-;1;-;2;-;-;-;-;-;-;1;15
"260710 Ingazeira";-;-;1;-;5;2;1;1;-;1;-;2;-;1;-;-;-;-;1;15
"260720 Ipojuca";1;-;3;3;39;26;8;4;7;6;1;42;2;7;1;-;-;14;5;169
"260730 Ipubi";-;-;2;-;6;15;3;1;-;2;-;4;1;3;-;-;-;2;3;42
"260740 Itacuruba";-;-;-;-;-;2;1;-;-;-;-;2;-;1;-;2;-;-;1;9
"260750 Itaíba";-;1;1;-;1;9;2;-;-;3;2;8;-;-;-;-;-;1;-;28
"260765 Itambé";-;2;2;-;24;20;6;1;2;6;1;22;-;3;1;-;1;4;4;99
"260770 Itapetim";1;-;1;1;2;6;2;-;-;1;2;7;-;-;-;-;-;-;-;23
"260775 Itapissuma";-;-;1;1;10;12;3;1;-;4;1;13;1;3;-;1;-;-;1;52
"260780 Itaquitinga";-;1;-;-;5;5;-;1;-;2;2;4;-;1;-;-;-;-;-;21
"260790 Jaboatão dos Guararapes";28;46;32;57;135;268;68;35;41;54;34;184;119;62;5;23;-;198;29;1418
"260795 Jaqueira";-;-;-;-;1;5;-;-;-;-;-;5;-;-;-;-;-;-;1;12
"260800 Jataúba";-;-;2;1;3;9;-;1;-;1;-;4;-;2;-;-;-;-;2;25
"260805 Jatobá";1;-;1;1;7;7;4;-;1;-;2;8;-;2;-;-;-;3;4;41
"260810 João Alfredo";-;1;-;1;5;9;4;4;-;-;2;7;-;1;-;-;-;-;1;35
"260820 Joaquim Nabuco";-;1;1;-;2;4;1;1;-;1;-;5;-;-;-;-;-;-;1;17
"260825 Jucati";-;-;-;-;-;5;-;-;-;2;1;-;-;1;-;-;-;1;2;12
"260830 Jupi";-;1;-;-;2;4;-;-;-;1;-;3;-;-;-;-;-;-;2;13
"260840 Jurema";-;1;1;-;1;6;-;1;-;2;1;3;-;2;-;-;-;1;1;20
"260850 Lagoa de Itaenga";-;2;-;1;3;9;1;-;-;3;1;4;-;1;-;-;-;-;1;26
"260845 Lagoa do Carro";-;3;1;1;5;9;3;1;-;2;2;8;-;2;-;-;-;-;3;40
"260860 Lagoa do Ouro";-;1;1;-;4;7;-;-;-;1;-;2;-;1;-;-;-;-;-;17
"260870 Lagoa dos Gatos";-;-;1;-;1;3;-;-;-;-;-;3;-;-;-;-;-;-;-;8
"260875 Lagoa Grande";-;-;2;-;13;11;1;-;2;2;-;2;1;-;-;-;-;1;1;36
"260880 Lajedo";-;-;2;-;2;6;-;-;-;2;-;9;-;-;-;-;-;-;3;24
"260890 Limoeiro";5;6;10;8;12;56;17;3;1;7;3;18;2;10;1;7;-;16;6;188
"260900 Macaparana";-;-;2;-;13;9;2;3;-;-;1;8;-;1;-;-;-;-;-;39
"260910 Machados";1;1;2;-;5;5;-;1;-;-;1;5;-;-;-;-;1;1;1;24
"260915 Manari";-;-;-;-;1;7;-;-;-;1;-;4;-;-;-;-;-;-;1;14
"260920 Maraial";-;-;-;-;2;4;-;-;-;1;-;1;-;-;-;-;-;-;-;8
"260930 Mirandiba";-;-;5;-;3;9;1;1;-;2;1;6;-;1;-;-;-;-;1;30
"261430 Moreilândia";-;-;1;1;1;6;1;1;-;2;-;5;-;1;-;-;-;-;1;20
"260940 Moreno";2;2;4;2;12;21;1;1;1;8;2;16;-;3;-;-;1;6;5;87
"260950 Nazaré da Mata";-;1;2;1;11;13;4;2;1;6;2;6;1;3;-;-;-;3;3;59
"260960 Olinda";18;23;27;13;174;91;50;31;22;39;11;94;32;44;5;13;-;119;41;847
"260970 Orobó";-;-;1;2;3;9;1;2;-;-;1;5;-;1;-;-;-;1;-;26
"260980 Orocó";-;-;2;1;6;6;-;-;-;1;-;2;-;1;-;-;-;-;-;19
"260990 Ouricuri";1;4;6;7;17;33;4;2;1;3;3;18;2;5;-;2;-;6;2;116
"261000 Palmares";4;4;6;11;14;38;5;6;13;6;4;24;8;8;-;4;-;15;11;181
"261010 Palmeirina";-;-;-;-;-;4;-;-;-;-;-;4;-;-;-;-;-;-;1;9
"261020 Panelas";-;-;-;1;-;9;-;-;-;3;1;8;1;-;-;-;-;1;1;25
"261030 Paranatama";-;-;-;1;-;2;1;-;-;2;-;2;-;-;-;-;-;-;-;8
"261040 Parnamirim";-;1;2;2;6;12;-;-;-;2;2;6;-;1;1;-;-;1;1;37
"261050 Passira";-;1;3;-;2;10;1;1;-;2;1;6;-;-;-;-;-;1;2;30
"261060 Paudalho";1;3;3;4;7;20;9;2;-;7;1;7;-;6;-;1;-;7;2;80
"261070 Paulista";6;38;16;9;114;199;32;24;6;21;19;73;23;42;7;17;-;62;44;752
"261080 Pedra";-;2;1;2;1;14;1;1;-;1;1;8;-;2;-;-;-;-;3;37
"261090 Pesqueira";1;6;7;3;12;24;7;2;-;2;3;28;-;5;-;2;-;4;1;107
"261100 Petrolândia";4;1;3;4;9;18;4;3;1;2;-;15;-;1;-;2;-;2;5;74
"261110 Petrolina";18;21;35;19;85;170;41;16;34;24;14;112;39;40;-;10;-;139;15;832
"261120 Poção";-;-;1;-;2;8;1;-;-;-;-;3;-;-;-;-;-;-;-;15
"261130 Pombos";-;1;2;-;4;10;1;1;-;4;1;11;-;1;-;-;-;1;1;38
"261140 Primavera";-;-;1;-;1;4;-;-;-;1;1;1;-;-;-;-;-;-;-;9
"261150 Quipapá";-;-;-;-;2;13;1;1;-;-;2;5;1;1;-;-;-;1;4;31
"261153 Quixaba";-;-;1;-;-;4;-;-;1;1;-;1;-;-;-;-;-;-;-;8
"261160 Recife";345;329;374;448;1079;2000;543;221;303;165;261;1007;418;532;96;167;13;1958;415;10674
"261170 Riacho das Almas";-;-;-;1;3;8;2;-;-;1;-;5;-;1;-;-;-;1;2;24
"261180 Ribeirão";-;-;1;-;5;7;1;1;-;5;2;12;-;2;-;-;-;1;1;38
"261190 Rio Formoso";1;-;-;1;3;7;-;1;-;1;-;8;-;-;-;-;-;-;-;22
"261200 Sairé";-;1;1;1;1;4;-;-;-;1;1;5;-;-;-;-;-;-;-;15
"261210 Salgadinho";-;-;1;-;3;3;-;-;-;1;-;2;-;1;-;-;-;-;1;12
"261220 Salgueiro";1;3;11;11;18;30;8;3;4;6;1;21;5;5;-;3;-;7;6;143
"261230 Saloá";-;-;-;-;-;5;1;-;-;-;-;6;-;1;-;-;-;1;2;16
"261240 Sanharó";-;-;-;-;1;7;-;1;-;1;-;4;-;-;-;-;-;-;1;15
"261245 Santa Cruz";-;-;1;-;1;6;-;-;-;2;-;4;-;-;-;-;-;-;1;15
"261247 Santa Cruz da Baixa Verde";-;1;-;3;5;4;1;-;-;1;1;1;-;1;-;-;-;-;1;19
"261250 Santa Cruz do Capibaribe";-;1;5;5;15;24;12;3;2;1;2;18;4;1;-;1;-;4;4;102
"261255 Santa Filomena";-;-;-;-;2;7;-;-;-;2;-;4;-;-;-;-;-;-;-;15
"261260 Santa Maria da Boa Vista";1;2;2;1;2;8;1;1;-;-;-;8;-;2;-;-;-;-;1;29
"261270 Santa Maria do Cambucá";-;-;-;-;3;4;1;-;-;1;1;4;-;-;-;1;-;1;-;16
"261280 Santa Terezinha";-;-;1;-;4;5;-;-;-;3;-;2;-;-;-;-;-;-;-;15
"261290 São Benedito do Sul";-;-;1;1;4;4;-;-;-;2;-;2;-;-;-;-;-;-;-;14
"261300 São Bento do Una";-;-;1;-;6;13;2;-;-;2;-;8;-;-;-;-;-;-;3;35
"261310 São Caitano";-;1;2;1;1;8;1;-;-;3;1;14;-;1;-;-;-;-;-;33
"261320 São João";-;1;1;-;2;8;2;-;-;3;-;6;-;1;-;-;-;1;1;26
"261330 São Joaquim do Monte";1;1;1;2;5;6;1;-;-;2;1;9;1;2;-;-;-;1;-;33
"261340 São José da Coroa Grande";-;1;-;-;3;7;-;-;-;2;-;7;-;1;-;-;-;-;1;22
"261350 São José do Belmonte";-;1;2;1;3;9;3;-;-;4;1;7;-;2;-;-;-;-;2;35
"261360 São José do Egito";-;-;4;2;4;12;4;3;-;3;1;11;-;1;-;-;-;-;2;47
"261370 São Lourenço da Mata";-;6;1;1;25;46;6;-;1;14;5;13;3;4;-;-;-;4;4;133
"261380 São Vicente Ferrer";-;-;1;-;2;5;1;-;-;4;1;3;-;-;-;-;-;-;-;17
"261390 Serra Talhada";1;5;11;14;22;39;12;8;1;3;2;22;4;8;-;1;-;16;13;182
"261400 Serrita";-;1;2;-;2;10;2;1;1;2;-;9;-;2;-;-;-;-;-;32
"261410 Sertânia";1;-;2;3;2;7;2;1;-;2;1;9;1;1;-;-;-;1;2;35
"261420 Sirinhaém";2;-;1;3;6;4;1;1;-;1;1;7;-;1;-;-;-;2;5;35
"261440 Solidão";-;-;2;-;2;4;-;-;-;-;1;5;-;-;-;-;-;-;-;14
"261450 Surubim";-;4;4;8;22;26;6;4;-;8;1;20;-;7;-;-;-;8;1;119
"261460 Tabira";-;-;2;2;4;16;4;-;-;1;1;7;-;3;-;-;-;-;2;42
"261470 Tacaimbó";-;-;-;-;2;5;-;-;-;-;-;3;-;-;-;-;-;-;1;11
"261480 Tacaratu";-;-;1;-;2;6;-;-;-;1;-;-;-;-;-;-;-;-;2;12
"261485 Tamandaré";-;1;1;-;-;9;1;1;-;2;1;5;-;-;-;-;-;-;2;23
"261500 Taquaritinga do Norte";1;-;2;1;3;6;1;1;1;1;-;5;-;1;-;-;-;2;-;25
"261510 Terezinha";-;-;1;-;-;4;-;-;-;1;-;4;-;1;-;-;-;-;-;11
"261520 Terra Nova";-;-;-;-;1;3;-;-;1;-;1;1;-;-;-;-;-;-;-;7
"261530 Timbaúba";2;5;6;2;9;17;6;4;-;10;4;19;1;4;-;1;-;5;5;100
"261540 Toritama";-;-;3;-;5;6;2;-;-;1;-;6;-;1;-;-;-;-;1;25
"261550 Tracunhaém";-;-;1;1;6;7;-;-;-;1;1;7;-;-;-;-;-;-;2;26
"261560 Trindade";-;2;2;1;6;13;2;2;-;1;-;8;-;1;-;-;-;-;1;39
"261570 Triunfo";-;-;1;-;-;5;-;-;-;1;-;3;-;1;-;-;-;-;-;11
"261580 Tupanatinga";-;-;1;-;-;6;-;-;-;-;-;4;-;-;-;-;-;-;1;12
"261590 Tuparetama";-;-;-;-;4;4;1;-;-;-;-;2;-;-;-;-;-;-;2;13
"261600 Venturosa";-;-;1;-;1;6;-;-;-;2;-;5;-;1;-;-;-;-;1;17
"261610 Verdejante";-;-;1;-;1;8;1;1;-;-;-;4;-;-;-;-;-;-;-;16
"261618 Vertente do Lério";-;-;-;-;-;3;2;1;-;2;-;1;-;-;-;-;-;-;-;9
"261620 Vertentes";-;-;2;-;3;7;3;1;-;3;-;6;1;1;-;-;-;-;1;28
"261630 Vicência";-;2;4;2;5;9;3;-;-;6;1;10;-;3;1;-;-;1;2;49
"261640 Vitória de Santo Antão";5;6;6;9;30;45;23;8;1;10;9;41;4;25;-;2;-;6;16;246
"261650 Xexéu";-;-;1;-;1;6;3;1;-;-;1;8;-;2;-;-;-;-;1;24
"270010 Água Branca";-;3;-;-;8;8;2;-;-;4;1;5;-;1;1;-;-;2;5;40
"270020 Anadia";-;2;2;1;11;11;2;-;1;3;1;5;-;6;1;1;-;3;3;53
"270030 Arapiraca";24;47;30;57;80;141;60;14;7;25;27;71;19;38;9;9;-;115;36;809
"270040 Atalaia";1;3;2;3;13;20;3;1;3;9;5;16;1;3;1;1;-;2;4;91
"270050 Barra de Santo Antônio";-;-;-;-;1;10;2;-;-;8;1;5;-;1;1;1;-;3;2;35
"270060 Barra de São Miguel";-;-;1;-;5;4;1;-;1;2;1;2;-;2;-;1;-;2;-;22
"270070 Batalha";-;1;2;1;5;10;1;-;-;2;1;8;-;4;1;-;-;1;5;42
"270080 Belém";-;-;-;1;-;1;1;-;-;1;2;2;-;1;-;-;-;1;1;11
"270090 Belo Monte";-;-;-;-;1;5;-;-;-;2;1;1;-;-;-;-;-;-;-;10
"270100 Boca da Mata";-;3;2;1;8;11;3;-;-;4;2;6;-;4;-;-;-;1;2;47
"270110 Branquinha";-;-;-;-;4;6;1;-;-;2;-;6;-;1;1;-;-;2;-;23
"270120 Cacimbinhas";-;1;-;-;7;4;-;-;-;-;-;4;1;-;-;-;-;1;2;20
"270130 Cajueiro";-;5;2;-;5;8;5;1;3;3;2;6;-;5;1;1;-;2;5;54
"270135 Campestre";-;1;-;-;1;3;1;-;-;-;1;1;-;1;-;-;-;-;-;9
"270140 Campo Alegre";-;1;3;-;11;15;1;-;-;2;1;5;-;2;-;-;-;1;-;42
"270150 Campo Grande";-;1;1;-;1;3;-;-;-;-;-;7;-;2;-;1;-;1;1;18
"270160 Canapi";-;1;-;-;1;6;2;-;-;3;-;1;-;1;1;-;-;-;1;17
"270170 Capela";-;2;3;1;11;8;3;-;1;3;-;4;-;3;2;-;-;-;2;43
"270180 Carneiros";-;1;1;-;-;3;-;-;-;1;-;2;-;-;-;-;-;-;-;8
"270190 Chã Preta";-;1;-;-;3;2;1;-;1;1;1;2;-;1;-;-;-;-;-;13
"270200 Coité do Nóia";-;1;2;1;5;5;1;-;-;1;-;3;-;1;-;-;-;1;1;22
"270210 Colônia Leopoldina";-;2;2;1;4;8;1;2;-;4;1;7;-;2;2;1;-;1;4;42
"270220 Coqueiro Seco";-;-;-;-;1;2;1;-;-;2;-;3;-;1;-;1;-;1;-;12
"270230 Coruripe";3;5;2;8;12;27;7;1;1;9;3;17;1;5;1;3;-;7;6;118
"270235 Craíbas";-;1;2;-;3;9;1;-;-;-;1;8;-;2;-;-;-;-;1;28
"270240 Delmiro Gouveia";2;-;3;2;11;17;6;1;3;4;1;17;-;5;-;2;-;11;5;90
"270250 Dois Riachos";-;1;1;-;1;7;2;-;-;2;1;1;-;1;-;-;-;-;-;17
"270255 Estrela de Alagoas";-;1;1;-;1;8;-;-;-;2;1;3;-;2;-;-;-;-;-;19
"270260 Feira Grande";-;1;4;-;4;8;-;-;-;5;-;5;-;1;-;-;-;-;1;29
"270270 Feliz Deserto";-;1;-;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;6
"270280 Flexeiras";-;-;2;-;12;6;1;-;-;2;1;5;-;1;-;-;-;-;2;32
"270290 Girau do Ponciano";-;4;3;1;3;15;2;-;-;4;2;2;-;2;1;-;-;2;-;41
"270300 Ibateguara";-;1;1;-;5;5;2;-;-;2;1;3;-;2;1;-;-;-;1;24
"270310 Igaci";-;2;1;1;6;12;3;-;-;2;1;7;1;2;1;-;-;-;2;41
"270320 Igreja Nova";-;3;1;-;4;9;2;-;-;1;1;12;-;4;1;-;-;1;1;40
"270330 Inhapi";-;-;1;-;1;7;2;-;-;1;-;3;-;-;-;-;-;-;2;17
"270340 Jacaré dos Homens";-;-;1;-;1;5;-;-;-;1;1;1;-;1;-;-;-;-;1;12
"270350 Jacuípe";-;-;-;-;1;3;1;-;-;1;-;1;-;-;-;-;-;-;-;7
"270360 Japaratinga";-;-;-;1;-;4;-;-;-;3;-;5;-;-;-;-;-;1;-;14
"270370 Jaramataia";-;-;-;-;1;3;-;-;1;1;-;5;-;1;-;-;-;-;1;13
"270375 Jequiá da Praia";-;-;-;-;2;5;3;-;1;2;2;8;1;1;-;-;-;2;-;27
"270380 Joaquim Gomes";-;3;2;1;8;16;2;-;2;5;3;12;-;4;-;-;-;1;4;63
"270390 Jundiá";-;1;1;-;1;1;-;-;-;-;1;4;-;1;-;-;-;-;-;10
"270400 Junqueiro";-;4;3;1;3;16;2;2;-;6;2;11;1;4;1;-;-;2;2;60
"270410 Lagoa da Canoa";-;1;1;-;6;12;1;-;-;2;-;6;-;2;1;-;-;-;1;33
"270420 Limoeiro de Anadia";1;3;2;1;9;11;1;-;-;3;3;6;-;1;-;-;-;-;1;42
"270430 Maceió";105;273;110;250;365;522;292;113;146;47;146;652;181;393;34;89;1;660;217;4596
"270440 Major Isidoro";-;1;1;-;5;11;1;-;-;-;1;6;-;1;-;-;-;-;3;30
"270490 Mar Vermelho";-;-;-;-;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;4
"270450 Maragogi";-;2;1;-;4;10;1;1;2;4;2;8;-;-;-;1;-;-;3;39
"270460 Maravilha";-;-;-;-;1;5;-;-;-;-;-;3;-;-;-;-;-;-;2;11
"270470 Marechal Deodoro";-;1;2;-;4;18;3;1;-;9;2;11;-;3;-;-;-;-;2;56
"270480 Maribondo";-;1;1;-;-;6;1;-;-;1;1;2;-;1;-;1;-;-;4;19
"270500 Mata Grande";-;1;2;-;3;8;2;-;-;3;1;2;-;-;-;-;-;-;2;24
"270510 Matriz de Camaragibe";-;2;1;-;4;9;1;-;-;5;1;6;-;3;-;1;-;-;2;35
"270520 Messias";-;2;-;-;5;6;1;-;-;2;-;11;-;1;-;-;-;1;1;30
"270530 Minador do Negrão";-;-;1;-;1;3;1;-;-;-;1;4;-;1;-;-;-;-;-;12
"270540 Monteirópolis";-;-;-;-;-;3;-;-;-;-;1;2;-;-;-;-;-;-;-;6
"270550 Murici";-;1;3;-;2;18;2;-;1;5;3;6;1;3;-;-;-;-;4;49
"270560 Novo Lino";-;-;1;-;2;3;1;-;-;3;1;1;-;3;-;-;-;-;1;16
"270570 Olho d'Água das Flores";1;1;1;-;2;7;2;-;-;1;1;11;-;4;-;1;-;2;2;36
"270580 Olho d'Água do Casado";-;-;-;-;-;3;-;-;-;1;-;3;-;-;-;-;-;-;-;7
"270590 Olho d'Água Grande";-;-;-;-;1;3;1;-;-;-;-;3;-;-;-;-;-;-;1;9
"270600 Olivença";-;2;-;-;3;7;1;-;-;1;-;3;-;-;-;-;-;-;-;17
"270610 Ouro Branco";-;-;-;-;-;4;-;-;-;4;-;1;-;-;-;-;-;-;-;9
"270620 Palestina";-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;3
"270630 Palmeira dos Índios";2;9;5;-;23;31;11;-;1;8;4;30;1;12;-;-;-;15;9;161
"270640 Pão de Açúcar";2;2;2;2;4;15;1;-;-;1;1;6;1;1;-;-;-;1;1;40
"270642 Pariconha";-;1;-;-;2;7;1;1;-;2;1;5;-;1;-;-;-;1;2;24
"270644 Paripueira";-;1;-;-;4;3;-;-;-;1;1;3;-;1;-;-;-;1;1;16
"270650 Passo de Camaragibe";-;-;1;-;4;7;1;-;-;7;2;5;-;-;-;-;-;-;2;29
